,day,device_number,behavior,event,sex
6,-2,1,Exploring,29,m
7,-2,1,Seeking,53,m
8,-1,1,Exploring,11,m
9,-1,1,Seeking,17,m
10,0,1,Exploring,20,m
11,0,1,Seeking,70,m
12,1,1,Exploring,6,m
13,1,1,Seeking,91,m
14,2,1,Exploring,42,m
15,2,1,Seeking,79,m
16,3,1,Exploring,20,m
17,3,1,Seeking,88,m
18,4,1,Exploring,27,m
19,4,1,Seeking,59,m
20,5,1,Exploring,28,m
21,5,1,Seeking,59,m
22,6,1,Exploring,8,m
23,6,1,Seeking,106,m
24,7,1,Exploring,11,m
25,7,1,Seeking,116,m
26,8,1,Exploring,22,m
27,8,1,Seeking,106,m
28,9,1,Exploring,22,m
29,9,1,Seeking,77,m
30,10,1,Exploring,13,m
31,10,1,Seeking,58,m
32,11,1,Exploring,27,m
33,11,1,Seeking,33,m
34,12,1,Exploring,39,m
35,12,1,Seeking,50,m
36,13,1,Exploring,0,m
37,13,1,Seeking,0,m
38,-5,4,Exploring,19,f
39,-5,4,Seeking,3,f
40,-4,4,Exploring,6,f
41,-4,4,Seeking,35,f
42,-3,4,Exploring,9,f
43,-3,4,Seeking,61,f
44,-2,4,Exploring,8,f
45,-2,4,Seeking,33,f
46,-1,4,Exploring,12,f
47,-1,4,Seeking,22,f
48,0,4,Exploring,7,f
49,0,4,Seeking,84,f
50,1,4,Exploring,9,f
51,1,4,Seeking,69,f
52,2,4,Exploring,14,f
53,2,4,Seeking,72,f
54,3,4,Exploring,4,f
55,3,4,Seeking,81,f
56,4,4,Exploring,11,f
57,4,4,Seeking,107,f
58,5,4,Exploring,6,f
59,5,4,Seeking,58,f
60,6,4,Exploring,10,f
61,6,4,Seeking,88,f
62,7,4,Exploring,5,f
63,7,4,Seeking,84,f
64,8,4,Exploring,39,f
65,8,4,Seeking,66,f
66,9,4,Exploring,30,f
67,9,4,Seeking,64,f
68,10,4,Exploring,6,f
69,10,4,Seeking,14,f
70,11,4,Exploring,16,f
71,11,4,Seeking,37,f
72,12,4,Exploring,13,f
73,12,4,Seeking,45,f
74,13,4,Exploring,0,f
75,13,4,Seeking,0,f
76,-5,7,Exploring,15,f
77,-5,7,Seeking,9,f
78,-4,7,Exploring,10,f
79,-4,7,Seeking,20,f
80,-3,7,Exploring,13,f
81,-3,7,Seeking,24,f
82,-2,7,Exploring,5,f
83,-2,7,Seeking,16,f
84,-1,7,Exploring,9,f
85,-1,7,Seeking,25,f
86,0,7,Exploring,5,f
87,0,7,Seeking,62,f
88,1,7,Exploring,16,f
89,1,7,Seeking,73,f
90,2,7,Exploring,21,f
91,2,7,Seeking,56,f
92,3,7,Exploring,18,f
93,3,7,Seeking,72,f
